,Value,Std. Quantity (POUND),Std. Unit Rate ($/POUND),WTI Oil Value,Brent Oil Value,Ship Count Spikes,Port Count Spikes,spikes,predicted_spikes
173,-0.3443173367177341,-0.18504119100084965,-0.4235131293737665,-0.431380798965238,-0.1710595933222852,-0.2355010633802793,-0.2136507922552042,0.0,0.0
174,-0.3443173367177341,-0.18504119100084965,-0.4235131293737665,-0.431380798965238,-0.1710595933222852,-0.2355010633802793,-0.2136507922552042,0.0,0.0
175,-0.3443173367177341,-0.18504119100084965,-0.4235131293737665,-0.431380798965238,-0.1710595933222852,-0.2355010633802793,-0.2136507922552042,0.0,0.0
176,-0.3443173367177341,-0.18504119100084965,-0.4235131293737665,-0.431380798965238,-0.1710595933222852,-0.2355010633802793,-0.2136507922552042,0.0,0.0
177,-0.3443173367177341,-0.18504119100084965,-0.4235131293737665,-0.431380798965238,-0.1710595933222852,-0.2355010633802793,-0.2136507922552042,0.0,0.0
178,-0.3443173367177341,-0.18504119100084965,-0.4235131293737665,1.6131327961305462,1.7791774291631228,-0.2355010633802793,-0.2136507922552042,0.0,0.0
179,-0.3443173367177341,-0.18504119100084965,-0.4235131293737665,1.6131327961305462,1.7791774291631228,-0.2355010633802793,-0.2136507922552042,0.0,0.0
180,-0.3443173367177341,-0.18504119100084965,-0.4235131293737665,0.590875998582654,0.8040589179204188,4.246265327410574,-0.2136507922552042,0.0,0.0
181,1.42298783141437,-0.18504119100084965,-0.4235131293737665,1.6131327961305462,1.7791774291631228,-0.2355010633802793,-0.2136507922552042,0.0,0.0
182,-0.3443173367177341,-0.18504119100084965,-0.4235131293737665,-0.431380798965238,-1.1461781045649893,-0.2355010633802793,-0.2136507922552042,1.0,0.0
183,-0.3443173367177341,-0.18504119100084965,2.001883819863961,-1.45363759651313,-1.1461781045649893,-0.2355010633802793,-0.2136507922552042,1.0,0.0
184,-0.3443173367177341,-0.18504119100084965,-0.4235131293737665,1.6131327961305462,1.7791774291631228,-0.2355010633802793,-0.2136507922552042,0.0,0.0
185,3.190292999546474,3.694551237271201,-0.4235131293737665,-0.431380798965238,-0.1710595933222852,-0.2355010633802793,-0.2136507922552042,0.0,0.0
186,-0.3443173367177341,-0.18504119100084965,-0.4235131293737665,-0.431380798965238,-0.1710595933222852,-0.2355010633802793,-0.2136507922552042,0.0,0.0
187,-0.3443173367177341,-0.18504119100084965,-0.4235131293737665,0.590875998582654,0.8040589179204188,-0.2355010633802793,-0.2136507922552042,0.0,0.0
188,-0.3443173367177341,-0.18504119100084965,-0.4235131293737665,-1.45363759651313,-2.1212966158076934,-0.2355010633802793,-0.2136507922552042,0.0,0.0
189,-0.3443173367177341,-0.18504119100084965,-0.4235131293737665,0.590875998582654,-0.1710595933222852,4.246265327410574,-0.2136507922552042,0.0,0.0
190,-0.3443173367177341,-0.18504119100084965,2.001883819863961,-0.431380798965238,-0.1710595933222852,-0.2355010633802793,-0.2136507922552042,0.0,0.0
