,Date,Price,Open,High,Low,Vol.,Change %
68,"Sep 14, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
69,"Sep 13, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
70,"Sep 12, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
71,"Sep 11, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
72,"Sep 08, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
73,"Sep 07, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
74,"Sep 06, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
75,"Sep 05, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,-0.51%
76,"Sep 04, 2023","9,750.00","9,750.00","9,950.00","9,550.00",,0.00%
77,"Sep 01, 2023","9,750.00","9,750.00","9,950.00","9,550.00",,0.00%
78,"Aug 31, 2023","9,750.00","9,750.00","9,950.00","9,550.00",,0.00%
79,"Aug 30, 2023","9,750.00","9,750.00","9,950.00","9,550.00",,0.00%
80,"Aug 29, 2023","9,750.00","9,750.00","9,950.00","9,550.00",,0.00%
81,"Aug 28, 2023","9,750.00","9,750.00","9,950.00","9,550.00",,0.00%
82,"Aug 25, 2023","9,750.00","9,750.00","9,950.00","9,550.00",,0.00%
83,"Aug 24, 2023","9,750.00","9,750.00","9,950.00","9,550.00",,0.00%
84,"Aug 23, 2023","9,750.00","9,750.00","9,950.00","9,550.00",,0.00%
85,"Aug 22, 2023","9,750.00","9,750.00","9,950.00","9,550.00",,0.00%
86,"Aug 21, 2023","9,750.00","9,750.00","9,950.00","9,550.00",,0.00%
87,"Aug 18, 2023","9,750.00","9,750.00","9,950.00","9,550.00",,0.00%
88,"Aug 17, 2023","9,750.00","9,750.00","9,950.00","9,550.00",,0.00%
89,"Aug 16, 2023","9,750.00","9,750.00","9,950.00","9,550.00",,0.00%
90,"Aug 15, 2023","9,750.00","9,750.00","9,950.00","9,550.00",,0.00%
91,"Aug 14, 2023","9,750.00","9,750.00","9,950.00","9,550.00",,0.00%
92,"Aug 11, 2023","9,750.00","9,750.00","9,950.00","9,550.00",,0.52%
93,"Aug 10, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
94,"Aug 09, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
95,"Aug 08, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
96,"Aug 07, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
97,"Aug 04, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
98,"Aug 03, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
99,"Aug 02, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
100,"Aug 01, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
101,"Jul 31, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
102,"Jul 28, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
103,"Jul 27, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
104,"Jul 26, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
105,"Jul 25, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
106,"Jul 24, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
107,"Jul 21, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
