"Date","Price","Open","High","Low","Vol.","Change %"
"10/18/2023","33,114.50","33,114.50","33,114.50","33,114.50","","0.43%"
"10/16/2023","32,974.00","32,974.00","32,974.00","32,974.00","","-0.07%"
"10/13/2023","32,995.50","32,995.50","32,995.50","32,995.50","","0.00%"
"10/12/2023","32,995.50","32,995.50","32,995.50","32,995.50","","-0.02%"
"10/11/2023","33,001.00","33,001.00","33,001.00","33,001.00","","-0.02%"
"10/10/2023","33,006.50","33,006.50","33,006.50","33,006.50","","-0.02%"
"10/09/2023","33,012.00","33,012.00","33,012.00","33,012.00","","-0.07%"
"10/06/2023","33,033.50","33,033.50","33,033.50","33,033.50","","0.00%"
"10/05/2023","33,033.50","33,033.50","33,033.50","33,033.50","","-0.02%"
"10/04/2023","33,039.00","33,039.00","33,039.00","33,039.00","","-0.02%"
"10/03/2023","33,044.50","33,044.50","33,044.50","33,044.50","","-0.02%"
"10/02/2023","33,050.00","33,050.00","33,050.00","33,050.00","","-0.06%"
"09/29/2023","33,071.00","33,071.00","33,071.00","33,071.00","","-0.02%"
"09/28/2023","33,076.50","33,076.50","33,076.50","33,076.50","","-0.02%"
"09/27/2023","33,082.00","33,082.00","33,082.00","33,082.00","","0.00%"
"09/26/2023","33,082.00","33,082.00","33,082.00","33,082.00","","0.00%"
"09/25/2023","33,082.00","33,082.00","33,082.00","33,082.00","","-0.08%"
"09/22/2023","33,108.50","33,108.50","33,108.50","33,108.50","","-0.02%"
"09/21/2023","33,114.00","33,114.00","33,114.00","33,114.00","","-0.02%"
"09/20/2023","33,119.00","33,119.00","33,119.00","33,119.00","","0.43%"
"09/18/2023","32,977.00","32,977.00","32,977.00","32,977.00","","-0.04%"
"09/15/2023","32,990.00","32,990.00","32,990.00","32,990.00","","-0.01%"
"09/14/2023","32,994.50","32,994.50","32,994.50","32,994.50","","-0.01%"
"09/13/2023","32,999.00","32,999.00","32,999.00","32,999.00","","-0.02%"
"09/12/2023","33,004.00","33,004.00","33,004.00","33,004.00","","-0.01%"
"09/11/2023","33,008.25","33,008.25","33,008.25","33,008.25","","-0.04%"
"09/08/2023","33,021.00","33,021.00","33,021.00","33,021.00","","-0.01%"
"09/07/2023","33,025.00","33,025.00","33,025.00","33,025.00","","-0.01%"
"09/06/2023","33,029.50","33,029.50","33,029.50","33,029.50","","-0.01%"
"09/05/2023","33,034.00","33,034.00","33,034.00","33,034.00","","-0.01%"
"09/04/2023","33,038.00","33,038.00","33,038.00","33,038.00","","-0.04%"
"09/01/2023","33,051.00","33,051.00","33,051.00","33,051.00","","-0.01%"
"08/31/2023","33,055.50","33,055.50","33,055.50","33,055.50","","0.00%"
"08/30/2023","33,055.50","33,055.50","33,055.50","33,055.50","","-0.01%"
"08/29/2023","33,059.75","33,059.75","33,059.75","33,059.75","","-0.06%"
"08/25/2023","33,081.00","33,081.00","33,081.00","33,081.00","","0.00%"
"08/24/2023","33,081.00","33,081.00","33,081.00","33,081.00","","0.00%"
"08/23/2023","33,081.00","33,081.00","33,081.00","33,081.00","","-0.03%"
"08/22/2023","33,089.75","33,089.75","33,089.75","33,089.75","","-0.01%"
