,Date,Price,Open,High,Low,Vol.,Change %
59,"Oct 09, 2023",17.0,17.0,17.1,16.9,,0.00%
60,"Sep 27, 2023",17.0,17.0,17.1,16.9,,0.00%
61,"Sep 26, 2023",17.0,17.0,17.1,16.9,,0.00%
62,"Sep 25, 2023",17.0,17.0,17.1,16.9,,0.00%
63,"Sep 22, 2023",17.0,17.0,17.1,16.9,,0.00%
64,"Sep 21, 2023",17.0,17.0,17.1,16.9,,0.00%
65,"Sep 20, 2023",17.0,17.0,17.1,16.9,,0.00%
66,"Sep 19, 2023",17.0,17.0,17.1,16.9,,0.00%
67,"Sep 18, 2023",17.0,17.0,17.1,16.9,,1.19%
68,"Sep 14, 2023",16.8,16.8,16.9,16.7,,0.00%
69,"Sep 13, 2023",16.8,16.8,16.9,16.7,,-0.59%
70,"Sep 12, 2023",16.9,16.9,17.0,16.8,,-0.59%
71,"Sep 11, 2023",17.0,17.0,17.1,16.9,,0.00%
72,"Sep 08, 2023",17.0,17.0,17.1,16.9,,-0.58%
73,"Sep 07, 2023",17.1,17.1,17.2,17.0,,0.00%
74,"Sep 06, 2023",17.1,17.1,17.2,17.0,,0.00%
75,"Sep 05, 2023",17.1,17.1,17.2,17.0,,0.59%
76,"Sep 04, 2023",17.0,17.0,17.1,16.9,,-2.30%
77,"Sep 01, 2023",17.4,17.4,17.5,17.3,,-2.25%
78,"Aug 31, 2023",17.8,17.8,17.9,17.7,,-0.56%
79,"Aug 30, 2023",17.9,17.9,18.0,17.8,,-0.56%
80,"Aug 29, 2023",18.0,18.0,18.1,17.9,,-1.64%
81,"Aug 28, 2023",18.3,18.3,18.4,18.2,,-1.61%
82,"Aug 25, 2023",18.6,18.6,18.7,18.5,,-1.59%
83,"Aug 24, 2023",18.9,18.9,19.0,18.8,,0.00%
84,"Aug 23, 2023",18.9,18.9,19.0,18.8,,0.00%
85,"Aug 22, 2023",18.9,18.9,19.0,18.8,,0.00%
86,"Aug 21, 2023",18.9,18.9,19.0,18.8,,0.00%
87,"Aug 18, 2023",18.9,18.9,19.0,18.8,,-1.56%
88,"Aug 17, 2023",19.2,19.2,19.3,19.1,,0.00%
89,"Aug 16, 2023",19.2,19.2,19.3,19.1,,-0.52%
90,"Aug 15, 2023",19.3,19.3,19.4,19.2,,0.00%
91,"Aug 14, 2023",19.3,19.3,19.4,19.2,,0.00%
92,"Aug 11, 2023",19.3,19.3,19.4,19.2,,0.00%
93,"Aug 10, 2023",19.3,19.3,19.4,19.2,,0.00%
94,"Aug 09, 2023",19.3,19.3,19.4,19.2,,0.00%
95,"Aug 08, 2023",19.3,19.3,19.4,19.2,,0.00%
96,"Aug 07, 2023",19.3,19.3,19.4,19.2,,0.00%
97,"Aug 04, 2023",19.3,19.3,19.4,19.2,,0.00%
98,"Aug 03, 2023",19.3,19.3,19.4,19.2,,0.00%
99,"Aug 02, 2023",19.3,19.3,19.4,19.2,,0.00%
100,"Aug 01, 2023",19.3,19.3,19.4,19.2,,0.00%
101,"Jul 31, 2023",19.3,19.3,19.4,19.2,,0.00%
102,"Jul 28, 2023",19.3,19.3,19.4,19.2,,0.00%
103,"Jul 27, 2023",19.3,19.3,19.4,19.2,,0.00%
104,"Jul 26, 2023",19.3,19.3,19.4,19.2,,0.00%
