Date,Price,Price_gte_2,Price_gte_12,Price_gte_22,Price_lte_2,Price_lte_12,Price_lte_22
2020-02-12,2.606,True,False,False,False,True,True
2020-02-13,2.6195,True,False,False,False,True,True
2020-02-14,2.6055,True,False,False,False,True,True
2020-02-18,2.61,True,False,False,False,True,True
2020-02-19,2.6125,True,False,False,False,True,True
2020-02-20,2.595,True,False,False,False,True,True
2020-02-21,2.618,True,False,False,False,True,True
2020-02-24,2.5925,True,False,False,False,True,True
2020-02-25,2.5965,True,False,False,False,True,True
2020-02-26,2.5765,True,False,False,False,True,True
2020-02-27,2.5715,True,False,False,False,True,True
2020-02-28,2.546,True,False,False,False,True,True
2020-03-02,2.601,True,False,False,False,True,True
2020-03-03,2.5795,True,False,False,False,True,True
2020-03-04,2.593,True,False,False,False,True,True
2020-03-05,2.5825,True,False,False,False,True,True
2020-03-06,2.573,True,False,False,False,True,True
2020-03-08,2.524,True,False,False,False,True,True
2020-03-09,2.534,True,False,False,False,True,True
2020-03-10,2.512,True,False,False,False,True,True
2020-03-11,2.481,True,False,False,False,True,True
2020-03-12,2.474,True,False,False,False,True,True
2020-03-15,2.3985,True,False,False,False,True,True
2020-03-16,2.3155,True,False,False,False,True,True
2020-03-17,2.1605,True,False,False,False,True,True
2020-03-18,2.2,True,False,False,False,True,True
2020-03-19,2.1905,True,False,False,False,True,True
2020-03-22,2.1195,True,False,False,False,True,True
2020-03-23,2.1975,True,False,False,False,True,True
2020-03-24,2.234,True,False,False,False,True,True
2020-03-25,2.208,True,False,False,False,True,True
2020-03-26,2.197,True,False,False,False,True,True
2020-03-29,2.162,True,False,False,False,True,True
2020-03-30,2.24,True,False,False,False,True,True
2020-03-31,2.192,True,False,False,False,True,True
2020-04-01,2.233,True,False,False,False,True,True
2020-04-02,2.21,True,False,False,False,True,True
2020-04-05,2.235,True,False,False,False,True,True
2020-04-06,2.2885,True,False,False,False,True,True
2020-04-07,2.278,True,False,False,False,True,True
2020-04-08,2.2775,True,False,False,False,True,True
2020-04-12,2.3205,True,False,False,False,True,True
2020-04-13,2.347,True,False,False,False,True,True
2020-04-14,2.3125,True,False,False,False,True,True
2020-04-15,2.3045,True,False,False,False,True,True
2020-04-16,2.3535,True,False,False,False,True,True
