,Date,Price,Open,High,Low,Vol.,Change %
74,"Sep 14, 2023","8,417.50","8,465.00","8,465.00","8,465.00",40.51K,0.01%
75,"Sep 13, 2023","8,417.00","8,380.00","8,371.00","8,371.00",35.86K,0.31%
76,"Sep 12, 2023","8,391.00","8,365.00","8,364.00","8,363.00",27.68K,-0.13%
77,"Sep 11, 2023","8,402.00","8,370.00","8,359.00","8,360.00",50.08K,1.94%
78,"Sep 08, 2023","8,242.50","8,242.00","8,240.00","8,242.00",47.83K,-0.94%
79,"Sep 07, 2023","8,321.00","8,275.00","8,265.00","8,270.00",64.98K,-0.60%
80,"Sep 06, 2023","8,371.50","8,420.00","8,411.50","8,412.00",57.65K,-1.36%
81,"Sep 05, 2023","8,487.00","8,435.00","8,429.00","8,430.00",45.86K,0.41%
82,"Sep 04, 2023","8,452.00","8,435.00","8,428.00","8,426.00",26.11K,-0.57%
83,"Sep 01, 2023","8,500.50","8,545.00","8,534.00","8,535.00",58.07K,0.93%
84,"Aug 31, 2023","8,422.50","8,385.00","8,380.00","8,380.50",37.85K,-0.59%
85,"Aug 30, 2023","8,472.50","8,435.00","8,433.00","8,435.00",37.03K,0.28%
86,"Aug 29, 2023","8,448.50","8,400.00","8,395.50","8,395.00",36.91K,1.11%
87,"Aug 25, 2023","8,355.50","8,425.00","8,415.00","8,420.00",41.02K,-0.05%
88,"Aug 24, 2023","8,359.50","8,395.00","8,392.00","8,394.00",31.17K,-1.09%
89,"Aug 23, 2023","8,452.00","8,415.00","8,405.00","8,406.00",41.97K,1.07%
90,"Aug 22, 2023","8,362.50","8,390.00","8,375.00","8,373.00",43.10K,1.06%
91,"Aug 21, 2023","8,274.50","8,275.00","8,275.00","8,274.00",29.64K,0.41%
92,"Aug 18, 2023","8,240.50","8,215.00","8,210.00","8,210.00",35.46K,0.06%
93,"Aug 17, 2023","8,235.50","8,265.00","8,258.00","8,258.00",58.35K,0.84%
94,"Aug 16, 2023","8,167.00","8,200.00","8,192.00","8,194.00",55.87K,-0.40%
95,"Aug 15, 2023","8,199.50","8,190.00","8,185.00","8,182.00",74.67K,-1.11%
96,"Aug 14, 2023","8,291.50","8,300.00","8,295.00","8,295.00",41.16K,-0.04%
97,"Aug 11, 2023","8,294.50","8,280.00","8,275.50","8,276.00",64.68K,-1.09%
98,"Aug 10, 2023","8,386.00","8,460.00","8,464.00","8,460.00",42.92K,-0.14%
99,"Aug 09, 2023","8,397.50","8,428.00","8,425.00","8,428.00",49.33K,0.60%
100,"Aug 08, 2023","8,347.50","8,325.00","8,325.00","8,325.00",386.87K,-1.62%
101,"Aug 07, 2023","8,485.00","8,560.00","8,540.00","8,540.00",39.66K,-1.03%
102,"Aug 04, 2023","8,573.00","8,505.00","8,500.00","8,505.00",44.16K,-0.44%
103,"Aug 03, 2023","8,611.00","8,520.00","8,516.00","8,517.00",43.55K,1.19%
104,"Aug 02, 2023","8,509.50","8,590.00","8,589.00","8,585.00",55.25K,-1.41%
105,"Aug 01, 2023","8,631.00","8,768.00","8,765.00","8,768.00",65.70K,-2.27%
106,"Jul 31, 2023","8,831.50","8,685.00","8,670.00","8,670.00",66.17K,1.95%
107,"Jul 28, 2023","8,662.50","8,640.00","8,625.00","8,630.00",36.53K,1.09%
108,"Jul 27, 2023","8,569.00","8,625.00","8,618.00","8,620.00",39.47K,-0.56%
109,"Jul 26, 2023","8,617.50","8,590.00","8,577.00","8,576.00",33.31K,-0.65%
110,"Jul 25, 2023","8,673.50","8,640.00","8,626.00","8,628.00",53.29K,1.84%
111,"Jul 24, 2023","8,517.00","8,470.00","8,468.00","8,468.00",44.53K,0.77%
112,"Jul 21, 2023","8,452.00","8,460.00","8,447.00","8,449.00",36.14K,-0.39%
113,"Jul 20, 2023","8,485.50","8,570.00","8,568.00","8,569.00",45.36K,0.67%
114,"Jul 19, 2023","8,429.00","8,390.00","8,382.00","8,384.00",42.12K,-0.52%
115,"Jul 18, 2023","8,473.00","8,445.00","8,444.00","8,445.00",46.88K,-0.21%
116,"Jul 17, 2023","8,491.00","8,470.00","8,466.00","8,468.00",50.07K,-2.10%
117,"Jul 14, 2023","8,673.50","8,675.00","8,665.50","8,665.50",58.27K,-0.24%
118,"Jul 13, 2023","8,694.00","8,595.00","8,586.00","8,586.00",69.64K,2.29%
119,"Jul 12, 2023","8,499.50","8,390.00","8,383.00","8,383.00",56.94K,2.13%
120,"Jul 11, 2023","8,322.50","8,390.00","8,387.00","8,388.00",41.76K,-0.60%
121,"Jul 10, 2023","8,372.50","8,300.00","8,297.00","8,297.00",34.85K,0.02%
122,"Jul 07, 2023","8,370.50","8,320.00","8,312.00","8,312.00",42.82K,1.32%
123,"Jul 06, 2023","8,261.50","8,300.00","8,295.00","8,295.00",33.14K,-0.69%
124,"Jul 05, 2023","8,319.00","8,275.00","8,265.00","8,270.00",36.00K,-0.48%
125,"Jul 04, 2023","8,359.50","8,353.00","8,354.50","8,353.00",16.30K,-0.46%
126,"Jul 03, 2023","8,398.00","8,355.00","8,355.50","8,355.00",25.55K,0.99%
127,"Jun 30, 2023","8,315.50","8,220.00","8,208.00","8,210.00",45.15K,1.69%
128,"Jun 29, 2023","8,177.50","8,174.00","8,175.00","8,174.00",55.73K,-0.94%
129,"Jun 28, 2023","8,255.00","8,275.00","8,278.00","8,275.00",52.24K,-1.29%
130,"Jun 27, 2023","8,363.00","8,365.00","8,360.00","8,360.00",48.91K,-0.33%
131,"Jun 26, 2023","8,391.00","8,422.00","8,420.00","8,422.00",46.45K,0.01%
132,"Jun 23, 2023","8,390.50","8,478.00","8,475.00","8,478.00",48.81K,-2.14%
133,"Jun 22, 2023","8,574.00","8,670.00","8,668.00","8,668.00",45.62K,-0.33%
134,"Jun 21, 2023","8,602.50","8,510.00","8,498.00","8,498.00",41.69K,0.64%
135,"Jun 20, 2023","8,548.00","8,550.00","8,545.00","8,545.00",48.67K,0.09%
136,"Jun 19, 2023","8,540.00","8,565.00","8,549.00","8,548.00",31.82K,-0.31%
137,"Jun 16, 2023","8,566.50","8,575.00","8,573.00","8,575.00",53.47K,0.10%
138,"Jun 15, 2023","8,558.00","8,490.00","8,482.00","8,482.00",55.66K,0.58%
139,"Jun 14, 2023","8,509.00","8,470.00","8,466.00","8,466.00",60.85K,0.58%
140,"Jun 13, 2023","8,460.00","8,450.00","8,444.00","8,440.00",63.39K,1.80%
141,"Jun 12, 2023","8,310.50","8,330.00","8,320.00","8,320.00",30.31K,-0.73%
142,"Jun 09, 2023","8,371.50","8,390.00","8,391.00","8,390.00",45.32K,0.29%
143,"Jun 08, 2023","8,347.50","8,270.00","8,263.00","8,263.00",44.64K,0.65%
144,"Jun 07, 2023","8,293.50","8,360.00","8,352.00","8,354.00",56.05K,-0.55%
145,"Jun 06, 2023","8,339.00","8,325.00","8,322.00","8,322.00",47.21K,0.05%
146,"Jun 05, 2023","8,335.00","8,265.00","8,262.50","8,263.00",44.93K,1.19%
147,"Jun 02, 2023","8,237.00","8,350.00","8,340.00","8,345.00",51.51K,-0.08%
148,"Jun 01, 2023","8,243.50","8,240.00","8,226.00","8,220.00",50.89K,1.91%
149,"May 31, 2023","8,089.00","8,060.00","8,047.00","8,047.50",40.97K,-0.42%
150,"May 30, 2023","8,123.00","8,150.00","8,141.00","8,142.00",41.03K,-0.15%
151,"May 26, 2023","8,135.00","8,125.00","8,112.00","8,112.00",44.23K,2.17%
152,"May 25, 2023","7,962.50","7,970.00","7,965.00","7,960.00",45.99K,0.77%
153,"May 24, 2023","7,901.50","7,965.00","7,960.00","7,960.50",66.39K,-2.47%
154,"May 23, 2023","8,102.00","8,035.00","8,035.00","8,035.00",50.81K,-0.31%
155,"May 22, 2023","8,127.50","8,157.00","8,151.00","8,151.50",37.13K,-1.50%
156,"May 19, 2023","8,251.50","8,280.00","8,271.00","8,271.00",40.92K,0.97%
157,"May 18, 2023","8,172.50","8,225.00","8,216.00","8,216.00",39.77K,-1.56%
158,"May 17, 2023","8,302.00","8,230.00","8,207.00","8,208.00",53.00K,2.22%
159,"May 16, 2023","8,121.50","8,130.00","8,128.00","8,127.00",54.35K,-1.83%
160,"May 15, 2023","8,272.50","8,330.00","8,333.00","8,330.00",35.18K,0.24%
161,"May 12, 2023","8,253.00","8,260.00","8,270.00","8,260.00",47.42K,1.10%
162,"May 11, 2023","8,163.50","8,300.00","8,290.50","8,295.00",85.85K,-3.68%
163,"May 10, 2023","8,475.00","8,505.00","8,501.00","8,503.00",49.32K,-1.36%
164,"May 09, 2023","8,591.50","8,607.00","8,605.00","8,607.00",31.32K,0.12%
165,"May 05, 2023","8,581.50","8,515.00","8,507.00","8,509.00",42.13K,1.04%
166,"May 04, 2023","8,493.50","8,560.00","8,555.00","8,557.00",51.18K,0.30%
167,"May 03, 2023","8,468.50","8,520.00","8,516.00","8,515.00",36.53K,-0.53%
168,"May 02, 2023","8,514.00","8,600.00","8,592.50","8,592.00",33.84K,-0.95%
169,"Apr 28, 2023","8,595.50","8,600.00","8,585.00","8,586.00",36.81K,0.10%
170,"Apr 27, 2023","8,586.50","8,495.00","8,486.00","8,488.00",58.68K,0.40%
171,"Apr 26, 2023","8,552.50","8,590.00","8,585.00","8,585.50",58.26K,0.29%
172,"Apr 25, 2023","8,528.00","8,560.00","8,551.00","8,551.00",103.61K,-2.32%
173,"Apr 24, 2023","8,730.50","8,780.00","8,780.00","8,778.00",48.30K,-0.73%
174,"Apr 21, 2023","8,794.50","8,835.00","8,825.50","8,825.00",55.21K,-0.97%
175,"Apr 20, 2023","8,881.00","8,890.00","8,884.00","8,885.00",37.14K,-0.94%
176,"Apr 19, 2023","8,965.50","8,890.00","8,888.00","8,888.00",40.95K,-0.52%
177,"Apr 18, 2023","9,012.50","8,980.00","8,971.00","8,971.50",26.47K,0.54%
178,"Apr 17, 2023","8,964.50","8,995.00","8,982.00","8,983.00",35.18K,-0.65%
179,"Apr 14, 2023","9,023.50","9,093.00","9,090.00","9,085.50",52.78K,-0.39%
180,"Apr 13, 2023","9,058.50","9,020.00","8,995.00","8,995.00",52.63K,1.59%
181,"Apr 12, 2023","8,916.50","8,814.00","8,810.00","8,808.50",39.16K,0.70%
182,"Apr 11, 2023","8,854.50","8,842.00","8,842.00","8,842.00",37.96K,0.62%
183,"Apr 06, 2023","8,800.00","8,850.00","8,835.50","8,835.00",48.54K,0.20%
184,"Apr 05, 2023","8,782.00","8,785.00","8,784.00","8,785.00",32.98K,0.35%
185,"Apr 04, 2023","8,751.00","8,940.00","8,930.00","8,931.00",43.27K,-1.86%
186,"Apr 03, 2023","8,917.00","8,975.00","8,968.00","8,970.00",28.51K,-0.85%
187,"Mar 31, 2023","8,993.00","8,939.00","8,934.00","8,934.00",38.88K,-0.09%
188,"Mar 30, 2023","9,001.00","9,040.00","9,037.00","9,039.00",30.95K,-0.02%
189,"Mar 29, 2023","9,002.50","9,045.00","9,044.00","9,045.00",34.69K,0.27%
190,"Mar 28, 2023","8,978.00","8,960.00","8,947.00","8,949.00",29.35K,0.16%
191,"Mar 27, 2023","8,964.00","8,900.00","8,894.00","8,894.50",29.52K,0.48%
192,"Mar 24, 2023","8,921.50","8,940.00","8,930.00","8,932.00",53.70K,-1.21%
193,"Mar 23, 2023","9,031.00","8,915.00","8,917.00","8,915.00",51.17K,1.60%
194,"Mar 22, 2023","8,888.50","8,880.00","8,875.00","8,875.00",44.66K,1.50%
195,"Mar 21, 2023","8,757.50","8,840.00","8,811.00","8,810.00",54.27K,0.69%
196,"Mar 20, 2023","8,697.50","8,675.00","8,671.00","8,671.00",45.68K,1.37%
197,"Mar 17, 2023","8,580.00","8,655.00","8,620.00","8,625.00",43.11K,0.73%
198,"Mar 16, 2023","8,518.00","8,548.00","8,536.00","8,537.00",54.79K,0.16%
199,"Mar 15, 2023","8,504.50","8,560.00","8,550.00","8,550.00",113.29K,-3.72%
200,"Mar 14, 2023","8,833.50","8,904.00","8,905.00","8,904.00",48.53K,-1.09%
201,"Mar 13, 2023","8,931.00","8,680.00","8,666.00","8,667.00",94.99K,0.72%
202,"Mar 10, 2023","8,867.00","8,780.00","8,770.00","8,771.00",47.82K,0.16%
203,"Mar 09, 2023","8,853.00","8,835.00","8,826.00","8,826.00",21.67K,-0.65%
204,"Mar 08, 2023","8,910.50","8,825.00","8,824.00","8,824.00",52.74K,1.68%
205,"Mar 07, 2023","8,763.50","8,860.00","8,853.00","8,853.00",50.04K,-1.76%
