0,Date,HS Code,Product Description,Consignee,Notify Party Name,Shipper,Std. Quantity,Std. Unit,Standard Unit Rate INR,Value,Country of Origin,Country of Destination,Port of Destination,Quantity,Unit,Unit Rate $,Actual Duty,Port of Origin,Shipment Mode,Measurment,Bill of Entry No,Port of Delivery,Container TEU,Freight Term,Marks Number,HS Product Description,Gross Weight,Consignee Address,Shipper Address,Notify Party Address,Country Name
495,2020-12-04 00:00:00,74020012,"EXPANDED COPPER ANODES | CODELCO | ANODES | REFINED COPPER | CODELCO-FPAGABLES 99,470% CU, 736,700 G / T AG, 3,700 G / T AUPENALIZABLE NO 0% HUMIDITY",,,CODELCO CHILE,999916,KGS,-,7156321.22,Chile,China,China,999916,KGS,-,-,Not Available,-,-,-,-,-,-,-,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",1001830,,,,Chile T2  Export
496,2020-11-25 00:00:00,74020013,CU 99.430% | AG636084 G / TM | ANODE COVER | AU 5.627 G / TM | HUMIDITY 00.0000% | PENALTIES | BI40.732% | PAYABLE | DOES NOT EXIST,,,EMPRESA CL202011 004285,1512725,KGS,-,10856372.6,Chile,Japan,Kobe,1512725,KGS,-,-,Antofagasta,-,-,-,-,-,-,-,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",1513276,,,,Chile T2  Export
497,2020-11-19 00:00:00,74020013,CU 99.317% | AG598043G / TM | COVER ANODE | AU 5.121 G / TM | HUMIDITY0.00% | PENALTIES | BI 61.516% | PAYABLE | DOES NOT EXIST,,,EMPRESA CL202011 004285,2503114,KGS,-,17979734.88,Chile,South Korea,Busan,2503114,KGS,-,-,Not Available,-,-,-,-,-,-,-,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",2504117,,,,Chile T2  Export
498,2020-10-30 00:00:00,74020000,CONTACT LEDGE,PT INFINEON TECHNOLOGIES BATAM,,INFINEON TECHNOLOGIES ASIA PACIFIC PTE LTD,30,NOS,-,11760,Hong Kong,Indonesia,Batu Ampar,30,PCS,392,0,Jurong,-,-,218747,-,-,-,-,,0,"JL. BERINGIN LOT 317, BIP MUKA KUNING, KELURAHAN MUKA KUNING,KECAMATAN SUNGAI BEDUK,BATAM","81 ALPS VAENUE 498803SINGAPORE, SG",,Indonesia T3  Import
499,2020-09-23 00:00:00,74020000,COPPER ANODE (TEMBAGA HITAM DAN TEMBAGA TIDAK DIMURNIKAN LAINNYA) 125X650MM/PCE,PT MUTIARA PUTIH SEJAHTERA,,MEI HUA SHU FEI,2,NOS,-,293.1,Singapore,Indonesia,Tanjung Priok,2,PCS,146.55,0,Singapore,-,-,042975,-,-,-,-,,0,"RUKAN SUNTER PERMAI, BLOCK A NO.1 J L DANAU SUNTER UTARA, KEL SUNTER AG",BLK 1779 GEYLANG BAHRU #01-08 KALLANG DISTRIPARK,,Indonesia T3  Import
500,2020-10-30 00:00:00,74020000,COPPER ANODE DIA 120 X 300MM,PT DOK WARISAN PERTAMA,,CPS ASIA PACIFIC PTE LTD,2,SET,-,588.63,Singapore,Indonesia,Sekupang,2,SET,294.315,0,Jurong,-,-,218440,-,-,-,-,,0,"JL. BRIGJEND KATAMSO KM.6, KEL. TANJUNG UNCANG, KEC. BATU AJI, KOTA BATAM, PROP. KEPULAUAN RIAU",11 SECOND CHIN BEE ROAD SINGAPORE 61877,,Indonesia T3  Import
501,2020-09-05 00:00:00,74020000,CATHODE FOR HULL CELL TEST ( BRASS ),PT SAKAE RIKEN INDONESIA,,SAKAE RIKEN KOGYO CO LTD,10,NOS,-,1875.67,Japan,Indonesia,Soekarno-hatta Apt/jakarta,10,PCS,187.567,0,Nagoya Aichi,-,-,237412,-,-,-,-,,0,"JL.SURYA KENCANA KAV.I-17 GH&I-M2EF,KAWASAN INDUSTRI SURYA CIPTA,KUTAM","SOBUETAKAKUMA 221-2,SOBUE-CHO,INAZAWA-SHI,AICHI 49",,Indonesia T3  Import
502,2020-07-15 00:00:00,74020000,BRASS ANODE ROD : %30X150 A795158,YKK ZIPPER INDONESIA,,YKK CORPORATION,640,NOS,-,5960.82,Japan,Indonesia,Tanjung Priok,640,PCS,9.31378125,0,Toyamashinko,-,-,316658,-,-,-,-,,0,"JL. R.P. SOEROSO NO.7 RT/RW 009/05, CIKINI, MENTENG, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA 10330","938 MAKINO,KUROBE-CITY,TOYAMA PREF.938-0035 JAPAN(FASTENER COMPONENTS",,Indonesia T3  Import
503,2020-07-10 00:00:00,74020000,CONSUMABLE FOR NEW FX GRAVURE CYLINDER MAKING SYSTEM : CU ANODE ANODEC-100 NFXU-14600,PT INDONESIA TOPPAN PRINTING,,THINK LABORATORY CO LTD,2,NOS,-,4332,Japan,Indonesia,Soekarno-hatta Apt/jakarta,2,PCS,2166,0,Narita Apttokyo,-,-,184681,-,-,-,-,,0,JL. RAYA TEUKU UMAR KM.55TELAGA ASIH 17520 Indonesia ,"1201-11 TAKADA, KASHIWA-SHI, KASHIWA-SHI, CHIBA, JAPAN, JP",,Indonesia T3  Import
504,2020-01-24 00:00:00,74020090,"COPPER ANODES | ZHENGZHOU | 14.14.978MM | ELECTROLYTIC | CONDUCTOR, FOR INDUSTRIAL USE | 400 PIECES",EMPRESA CL202001 000362,,,1760,KGS,-,35335.52,China,Chile,San Antonio,1760,KGS,-,-,Chongqing,-,-,-,-,-,-,-,COPPER ANODES FOR ELECTROLYTIC REFINING,1851,,,,Chile T2  Import
