,Date,HS Code,Product Description,Consignee,Notify Party Name,Shipper,Std. Quantity,Std. Unit,Standard Unit Rate INR,Value,Country of Origin,Country of Destination,Port of Destination,Quantity,Unit,Unit Rate $,Actual Duty,Port of Origin,Shipment Mode,Measurment,Bill of Entry No,Port of Delivery,Container TEU,Freight Term,Marks Number,HS Product Description,Gross Weight,Consignee Address,Shipper Address,Notify Party Address,Country Name
62,2021-11-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.038,TON,-,162869.77,Belgium,France,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,France T1  Import
63,2021-11-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.005,TON,-,8562.79,Germany,Austria,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Germany T1  Export
64,2021-11-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.001,TON,-,193.02,France,Hungary,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,France T1  Export
65,2021-11-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.013,TON,-,7495.35,Lithuania,Germany,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Lithuania T1  Export
66,2021-12-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.001,TON,-,1920.45,Italy,Thailand,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Italy T1  Export
67,2021-12-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.001,TON,-,114.77,Belgium,Germany,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Belgium T1  Export
68,2021-12-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.003,TON,-,3967.05,Netherlands,Italy,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Netherlands T1  Export
69,2021-10-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.106,TON,-,38912.79,Belgium,Latvia,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Belgium T1  Export
70,2021-06-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.003,TON,-,3419.51,United States,Germany,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Germany T1  Import
71,2021-12-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.001,TON,-,231.82,Germany,Finland,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Germany T1  Export
72,2021-01-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.001,TON,-,145.12,Germany,Netherlands,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Netherlands T1  Import
73,2021-02-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.096,TON,-,85846.99,Belgium,Germany,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Germany T1  Import
74,2021-11-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.001,TON,-,23620.93,Belgium,Japan,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Belgium T1  Export
75,2021-01-20,8112929500,"Germany Metal lump - 50.000 kg, Germany content - 50.000 kg (Germany content - 100%)",JSC GERMANY,,NOVOTECH INC,0.0,,-,0.0,United States,Russia,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,56.0,,,,Russia T3  Import
76,2021-03-15,8112929500,Germany polycrystalline zonoxicated - 570.652 kg   (content Germany - 99.999%)  ,JSC GERMANY,,VITAL OPTICS TECHNOLONGY CO LTD,0.0,,-,0.0,China,Russia,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,623.0,,,,Russia T3  Import
77,2022-09-12,811292950012,"GERMANIUM, 99.999%, POWDER",AZEL S TR K MYA END R N TH HR T C VESAN A,,ACROS ORGANICS BVBA,1.0,NOS,-,114.0,Czech Republic,Turkey,Dilovasi,1.0,PCS,-,-,Not Available,-,-,22410500IM00106204,-,-,-,-,Germanium powders,0.0,,,,Turkey T3  Import
78,2022-11-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.0,TON,-,15287.13,Belgium,China,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Belgium T1  Export
79,2022-11-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.01,TON,-,135306.93,Belgium,China,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Belgium T1  Export
80,2022-11-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.0,TON,-,1386.14,Germany,Italy,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Germany T1  Export
81,2022-12-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.0,TON,-,431.58,Germany,Denmark,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Germany T1  Export
82,2022-11-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.0,TON,-,1643.56,Italy,Thailand,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Italy T1  Export
83,2022-11-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.02,TON,-,25683.17,China,Germany,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Germany T1  Import
84,2022-12-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.02,TON,-,87589.47,Belgium,France,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,France T1  Import
85,2022-12-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.0,TON,-,115.79,Belgium,India,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Belgium T1  Export
86,2022-12-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.0,TON,-,6926.32,Germany,Romania,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Romania T1  Import
87,2022-01-01,81129295,UNWROUGHT GERMANIUM; GERMANIUM POWDERS,,,,0.05,TON,-,488056.82,Germany,United States,Not Available,0.0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0.0,,,,Germany T1  Export
