,epsilon,pre,recall,F1,NSC,PSC,NRC,PRC
52,0.053,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
53,0.054,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
54,0.055,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
55,0.056,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
56,0.057,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
57,0.058,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
58,0.059000000000000004,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
59,0.06,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
60,0.061,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
61,0.062,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
62,0.063,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
63,0.064,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
64,0.065,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
65,0.066,0.0,0.0,0.0,86,58,6,1
66,0.067,0.0,0.0,0.0,86,58,6,1
67,0.068,0.0,0.0,0.0,86,58,6,1
68,0.069,0.0,0.0,0.0,86,58,6,1
69,0.07,0.0,0.0,0.0,86,58,6,1
70,0.07100000000000001,0.0,0.0,0.0,86,58,6,1
71,0.07200000000000001,0.0,0.0,0.0,86,58,6,1
72,0.073,0.0,0.0,0.0,86,58,6,1
73,0.074,0.0,0.0,0.0,86,58,6,1
74,0.075,0.0,0.0,0.0,86,58,6,1
75,0.076,0.0,0.0,0.0,86,58,6,1
76,0.077,0.0,0.0,0.0,86,58,6,1
77,0.078,0.0,0.0,0.0,86,58,6,1
78,0.079,0.0,0.0,0.0,86,58,6,1
79,0.08,0.0,0.0,0.0,86,58,6,1
80,0.081,0.0,0.0,0.0,86,58,6,1
81,0.082,0.0,0.0,0.0,86,58,6,1
82,0.083,0.0,0.0,0.0,86,58,6,1
83,0.084,0.0,0.0,0.0,86,58,6,1
84,0.085,0.0,0.0,0.0,86,58,6,1
85,0.08600000000000001,0.0,0.0,0.0,86,58,6,1
86,0.08700000000000001,0.0,0.0,0.0,86,58,6,1
87,0.088,0.0,0.0,0.0,86,58,6,1
88,0.089,0.0,0.0,0.0,86,58,6,1
89,0.09,0.0,0.0,0.0,86,58,6,1
90,0.091,0.0,0.0,0.0,86,58,6,1
91,0.092,0.0,0.0,0.0,86,58,6,1
92,0.093,0.0,0.0,0.0,86,58,6,1
93,0.094,0.0,0.0,0.0,86,58,6,1
94,0.095,0.0,0.0,0.0,86,58,6,1
95,0.096,0.0,0.0,0.0,86,58,6,1
96,0.097,0.0,0.0,0.0,86,58,6,1
97,0.098,0.0,0.0,0.0,86,58,6,1
98,0.099,0.0,0.0,0.0,86,58,6,1
