,Date,Price,Open,High,Low,Vol.,Change %
569,"Sep 24, 2021",21.53,21.24,21.93,21.24,2.09M,-2.18%
570,"Sep 23, 2021",22.01,22.5,22.8,21.86,2.88M,-0.18%
571,"Sep 22, 2021",22.05,21.75,22.62,21.54,4.27M,3.38%
572,"Sep 21, 2021",21.33,21.13,21.64,20.75,3.68M,1.72%
573,"Sep 20, 2021",20.97,22.2,22.3,20.15,9.97M,-11.03%
574,"Sep 17, 2021",23.57,23.22,23.98,23.15,4.82M,2.39%
575,"Sep 16, 2021",23.02,24.04,24.2,22.28,6.82M,-6.16%
576,"Sep 15, 2021",24.53,23.23,24.72,23.12,6.32M,5.10%
577,"Sep 14, 2021",23.34,22.06,23.99,21.8,7.50M,6.82%
578,"Sep 13, 2021",21.85,23.03,23.43,21.53,5.46M,-2.89%
579,"Sep 10, 2021",22.5,21.61,23.9,21.27,10.29M,7.66%
580,"Sep 09, 2021",20.9,20.77,22.0,20.7,3.81M,0.48%
581,"Sep 08, 2021",20.8,22.29,22.38,20.41,4.84M,-6.31%
582,"Sep 07, 2021",22.2,22.51,22.92,21.71,5.34M,0.32%
583,"Sep 03, 2021",22.13,21.75,22.8,20.95,7.82M,0.87%
584,"Sep 02, 2021",21.94,19.93,22.95,19.9,13.03M,10.42%
585,"Sep 01, 2021",19.87,19.5,20.12,19.06,3.20M,-0.20%
586,"Aug 31, 2021",19.91,19.56,19.96,19.13,3.04M,1.58%
587,"Aug 30, 2021",19.6,19.01,19.79,18.84,4.92M,4.48%
588,"Aug 27, 2021",18.76,18.0,18.98,17.89,3.60M,5.51%
589,"Aug 26, 2021",17.78,18.88,18.95,17.58,3.70M,-5.78%
590,"Aug 25, 2021",18.87,17.88,19.49,17.85,5.19M,5.36%
591,"Aug 24, 2021",17.91,17.84,18.2,17.48,3.16M,1.42%
592,"Aug 23, 2021",17.66,17.35,18.0,17.22,3.93M,5.94%
593,"Aug 20, 2021",16.67,16.02,16.87,15.9,3.28M,4.51%
594,"Aug 19, 2021",15.95,16.03,16.44,15.72,3.69M,-5.34%
595,"Aug 18, 2021",16.85,15.24,17.28,15.22,6.50M,9.34%
596,"Aug 17, 2021",15.41,16.58,16.79,14.94,7.84M,-9.83%
597,"Aug 16, 2021",17.09,17.5,18.16,16.81,6.20M,-4.47%
598,"Aug 13, 2021",17.89,19.38,20.75,17.41,12.91M,-6.58%
599,"Aug 12, 2021",19.15,18.0,19.16,17.35,8.76M,8.19%
600,"Aug 11, 2021",17.7,17.66,18.62,17.01,12.07M,3.03%
601,"Aug 10, 2021",17.18,15.86,17.94,15.69,12.21M,11.05%
602,"Aug 09, 2021",15.47,14.5,15.67,14.17,4.39M,4.46%
603,"Aug 06, 2021",14.81,14.38,14.91,13.87,3.13M,4.89%
604,"Aug 05, 2021",14.12,13.56,14.47,13.37,2.73M,5.06%
605,"Aug 04, 2021",13.44,13.77,14.06,13.42,1.85M,-2.54%
606,"Aug 03, 2021",13.79,14.03,14.1,13.56,1.81M,-2.06%
607,"Aug 02, 2021",14.08,14.61,14.85,13.8,2.49M,-3.63%
608,"Jul 30, 2021",14.61,14.3,14.72,14.3,1.60M,-0.81%
609,"Jul 29, 2021",14.73,14.2,15.25,14.15,4.01M,4.54%
610,"Jul 28, 2021",14.09,13.56,14.14,13.43,1.94M,4.91%
611,"Jul 27, 2021",13.43,13.75,13.82,13.18,2.61M,-3.59%
612,"Jul 26, 2021",13.93,14.19,14.69,13.73,5.71M,7.07%
613,"Jul 23, 2021",13.01,13.67,13.73,12.91,2.64M,-4.69%
614,"Jul 22, 2021",13.65,14.17,14.17,13.37,2.07M,-3.81%
615,"Jul 21, 2021",14.19,13.59,14.28,13.53,2.32M,5.82%
616,"Jul 20, 2021",13.41,12.85,13.47,12.56,2.03M,5.18%
617,"Jul 19, 2021",12.75,12.97,13.08,12.56,3.16M,-3.85%
618,"Jul 16, 2021",13.26,14.12,14.12,13.11,2.78M,-5.69%
619,"Jul 15, 2021",14.06,13.99,14.64,13.71,2.12M,0.64%
620,"Jul 14, 2021",13.97,15.19,15.37,13.95,3.11M,-6.49%
621,"Jul 13, 2021",14.94,15.64,15.65,14.92,4.05M,-6.04%
622,"Jul 12, 2021",15.9,14.23,15.99,14.11,7.59M,10.72%
623,"Jul 09, 2021",14.36,13.71,14.39,13.65,2.18M,6.37%
624,"Jul 08, 2021",13.5,13.22,13.68,13.14,1.49M,-2.10%
625,"Jul 07, 2021",13.79,13.97,14.18,13.43,2.00M,-0.93%
626,"Jul 06, 2021",13.92,14.67,14.85,13.7,2.47M,-4.33%
627,"Jul 02, 2021",14.55,14.66,15.08,14.23,1.95M,-1.42%
628,"Jul 01, 2021",14.76,14.7,14.81,14.37,1.35M,-0.54%
629,"Jun 30, 2021",14.84,14.22,15.15,14.17,2.46M,3.63%
630,"Jun 29, 2021",14.32,14.67,14.88,14.28,1.52M,-2.78%
631,"Jun 28, 2021",14.73,14.3,14.82,14.29,1.94M,2.94%
632,"Jun 25, 2021",14.31,14.62,14.75,14.23,1.85M,-0.83%
633,"Jun 24, 2021",14.43,15.0,15.17,14.23,2.53M,-2.76%
634,"Jun 23, 2021",14.84,14.47,14.94,14.3,2.55M,5.02%
635,"Jun 22, 2021",14.13,13.7,14.2,13.57,1.67M,2.24%
636,"Jun 21, 2021",13.82,13.69,13.82,13.12,1.98M,2.37%
637,"Jun 18, 2021",13.5,13.54,13.85,13.41,3.05M,-0.74%
638,"Jun 17, 2021",13.6,13.7,13.79,13.23,2.70M,-1.09%
639,"Jun 16, 2021",13.75,13.35,13.95,13.26,2.03M,2.38%
640,"Jun 15, 2021",13.43,13.76,13.96,13.18,2.95M,-2.47%
641,"Jun 14, 2021",13.77,14.51,14.55,13.75,4.35M,-8.14%
642,"Jun 11, 2021",14.99,15.31,15.48,14.79,2.39M,-0.93%
643,"Jun 10, 2021",15.13,15.19,15.61,14.92,1.57M,-1.82%
644,"Jun 09, 2021",15.41,16.02,16.22,15.37,2.29M,-4.29%
645,"Jun 08, 2021",16.1,16.54,16.63,15.88,2.35M,-2.37%
646,"Jun 07, 2021",16.49,16.25,16.71,16.05,1.96M,2.81%
647,"Jun 04, 2021",16.04,15.55,16.4,15.55,2.21M,3.28%
648,"Jun 03, 2021",15.53,15.65,15.82,14.86,2.11M,-1.58%
649,"Jun 02, 2021",15.78,15.89,15.99,15.34,2.12M,0.51%
650,"Jun 01, 2021",15.7,15.59,16.11,15.56,3.15M,2.61%
651,"May 28, 2021",15.3,15.32,15.6,14.95,2.51M,2.48%
652,"May 27, 2021",14.93,14.48,15.0,14.14,2.62M,4.04%
653,"May 26, 2021",14.35,13.54,14.4,13.54,2.11M,6.22%
654,"May 25, 2021",13.51,13.8,14.19,13.39,1.71M,-1.82%
655,"May 24, 2021",13.76,13.38,13.84,13.16,1.44M,3.07%
656,"May 21, 2021",13.35,13.73,13.85,13.3,2.05M,-0.89%
657,"May 20, 2021",13.47,13.88,13.88,13.18,1.68M,0.67%
658,"May 19, 2021",13.38,13.29,13.51,13.01,2.09M,-3.67%
659,"May 18, 2021",13.89,13.47,14.12,13.33,2.86M,4.83%
660,"May 17, 2021",13.25,12.75,13.27,12.55,1.91M,4.33%
661,"May 14, 2021",12.7,12.34,12.78,12.21,2.08M,5.13%
662,"May 13, 2021",12.08,12.55,12.9,11.84,3.48M,-4.13%
663,"May 12, 2021",12.6,13.05,13.25,12.57,2.47M,-3.74%
664,"May 11, 2021",13.09,12.04,13.18,11.95,2.98M,3.40%
665,"May 10, 2021",12.66,13.4,13.42,12.64,2.65M,-5.03%
666,"May 07, 2021",13.33,12.5,13.54,12.5,3.23M,8.11%
667,"May 06, 2021",12.33,13.27,13.33,12.07,5.81M,-8.19%
668,"May 05, 2021",13.43,13.68,13.7,13.18,2.91M,-0.37%
669,"May 04, 2021",13.48,13.6,13.75,13.04,2.93M,-1.75%
670,"May 03, 2021",13.72,14.21,14.29,13.64,2.31M,-3.11%
671,"Apr 30, 2021",14.16,14.2,14.56,13.97,2.47M,-2.88%
672,"Apr 29, 2021",14.58,15.2,15.2,14.21,2.67M,-3.06%
673,"Apr 28, 2021",15.04,15.04,15.28,14.65,1.99M,-1.12%
674,"Apr 27, 2021",15.21,15.47,15.68,15.11,2.99M,-0.59%
675,"Apr 26, 2021",15.3,14.5,15.51,14.3,4.36M,7.59%
676,"Apr 23, 2021",14.22,13.75,14.26,13.58,2.38M,3.80%
677,"Apr 22, 2021",13.7,14.16,14.17,13.5,3.07M,-0.22%
678,"Apr 21, 2021",13.73,13.17,13.77,12.82,2.32M,3.23%
679,"Apr 20, 2021",13.3,14.1,14.16,13.12,3.22M,-6.14%
680,"Apr 19, 2021",14.17,14.58,14.87,13.96,2.66M,-1.87%
681,"Apr 16, 2021",14.44,13.98,14.45,13.59,2.85M,3.66%
682,"Apr 15, 2021",13.93,14.92,15.19,13.72,3.63M,-4.52%
683,"Apr 14, 2021",14.59,14.48,15.39,14.34,4.00M,2.39%
684,"Apr 13, 2021",14.25,14.17,14.57,13.95,2.27M,1.21%
685,"Apr 12, 2021",14.08,14.82,14.83,14.02,2.66M,-5.31%
686,"Apr 09, 2021",14.87,14.88,15.09,14.68,1.74M,-1.33%
687,"Apr 08, 2021",15.07,14.87,15.21,14.69,2.17M,2.17%
688,"Apr 07, 2021",14.75,15.81,15.92,14.65,3.34M,-7.06%
689,"Apr 06, 2021",15.87,15.68,16.16,15.45,2.46M,0.95%
690,"Apr 05, 2021",15.72,16.6,16.61,15.56,3.78M,-0.95%
691,"Apr 01, 2021",15.87,17.52,17.52,15.66,6.84M,-1.24%
692,"Mar 31, 2021",16.07,15.15,16.27,14.88,5.21M,12.06%
693,"Mar 30, 2021",14.34,13.75,14.4,13.46,4.98M,2.80%
694,"Mar 29, 2021",13.95,14.41,14.51,13.72,2.72M,-4.12%
695,"Mar 26, 2021",14.55,14.72,15.1,13.93,2.74M,0.34%
696,"Mar 25, 2021",14.5,13.61,14.57,13.55,3.37M,2.62%
697,"Mar 24, 2021",14.13,15.4,15.48,14.13,3.91M,-7.83%
698,"Mar 23, 2021",15.33,16.15,16.34,15.18,2.55M,-6.18%
699,"Mar 22, 2021",16.34,16.49,16.82,16.06,2.27M,2.32%
700,"Mar 19, 2021",15.97,15.9,16.25,15.57,4.47M,0.31%
701,"Mar 18, 2021",15.92,16.59,17.0,15.88,2.71M,-6.19%
702,"Mar 17, 2021",16.97,15.54,17.24,15.44,2.93M,4.43%
703,"Mar 16, 2021",16.25,17.8,17.83,16.2,3.58M,-6.61%
704,"Mar 15, 2021",17.4,17.68,17.74,17.05,3.22M,-0.97%
705,"Mar 12, 2021",17.57,16.55,17.6,16.44,2.84M,1.15%
706,"Mar 11, 2021",17.37,16.39,17.41,16.12,4.09M,10.15%
707,"Mar 10, 2021",15.77,16.4,16.52,15.37,4.84M,-0.82%
708,"Mar 09, 2021",15.9,15.2,16.39,14.92,4.37M,10.26%
709,"Mar 08, 2021",14.42,14.9,15.34,14.25,3.99M,-3.29%
710,"Mar 05, 2021",14.91,15.53,15.53,13.2,6.72M,-2.49%
711,"Mar 04, 2021",15.29,16.55,17.35,14.58,7.79M,-8.77%
712,"Mar 03, 2021",16.76,19.0,19.12,16.75,5.75M,-11.32%
713,"Mar 02, 2021",18.9,19.25,20.2,18.74,4.41M,-0.47%
714,"Mar 01, 2021",18.99,19.31,19.7,18.66,3.31M,1.55%
715,"Feb 26, 2021",18.7,18.15,18.88,17.57,4.10M,2.07%
716,"Feb 25, 2021",18.32,19.75,20.43,17.95,5.22M,-7.47%
717,"Feb 24, 2021",19.8,18.76,20.05,18.39,4.19M,7.08%
718,"Feb 23, 2021",18.49,18.83,18.83,15.71,7.34M,-6.71%
719,"Feb 22, 2021",19.82,20.39,20.65,19.8,3.97M,-5.75%
720,"Feb 19, 2021",21.03,20.16,21.42,20.14,5.25M,6.70%
721,"Feb 18, 2021",19.71,20.4,20.7,19.25,5.97M,-6.59%
722,"Feb 17, 2021",21.1,22.49,22.5,20.45,5.43M,-6.14%
723,"Feb 16, 2021",22.48,23.54,23.87,22.06,6.60M,0.18%
724,"Feb 12, 2021",22.44,21.6,23.3,21.07,7.83M,4.03%
725,"Feb 11, 2021",21.57,21.37,21.77,20.38,5.70M,1.65%
726,"Feb 10, 2021",21.22,22.87,24.18,20.28,8.32M,-4.97%
727,"Feb 09, 2021",22.33,22.16,22.45,21.56,5.79M,-1.06%
728,"Feb 08, 2021",22.57,19.95,23.19,19.62,11.79M,14.63%
729,"Feb 05, 2021",19.69,20.35,20.46,19.41,4.66M,-2.19%
730,"Feb 04, 2021",20.13,20.9,20.9,19.63,5.15M,-2.85%
731,"Feb 03, 2021",20.72,19.67,20.95,19.52,7.69M,7.47%
732,"Feb 02, 2021",19.28,19.78,19.85,18.83,6.22M,0.16%
733,"Feb 01, 2021",19.25,20.71,21.37,19.24,8.63M,-2.33%
734,"Jan 29, 2021",19.71,19.79,21.2,19.35,5.85M,-0.50%
735,"Jan 28, 2021",19.81,20.08,20.84,18.56,8.11M,-2.32%
736,"Jan 27, 2021",20.28,20.76,21.62,19.63,8.71M,-9.38%
737,"Jan 26, 2021",22.38,23.22,23.61,21.87,8.02M,-2.91%
738,"Jan 25, 2021",23.05,24.04,25.16,22.37,13.52M,-0.77%
739,"Jan 22, 2021",23.23,22.41,23.25,22.08,8.67M,1.31%
740,"Jan 21, 2021",22.93,23.12,23.7,22.03,15.20M,3.15%
741,"Jan 20, 2021",22.23,23.18,23.59,21.55,27.75M,-17.11%
742,"Jan 19, 2021",26.82,24.45,28.75,23.54,20.58M,30.64%
743,"Jan 15, 2021",20.53,21.24,21.72,19.85,4.68M,-4.24%
744,"Jan 14, 2021",21.44,21.04,22.49,20.7,6.54M,-0.14%
745,"Jan 13, 2021",21.47,19.2,21.85,19.06,9.03M,12.53%
746,"Jan 12, 2021",19.08,18.79,19.17,17.8,4.81M,2.69%
747,"Jan 11, 2021",18.58,17.89,19.2,16.87,5.29M,-3.88%
748,"Jan 08, 2021",19.33,19.9,19.95,17.63,9.63M,1.79%
749,"Jan 07, 2021",18.99,16.88,19.0,16.68,11.66M,18.76%
750,"Jan 06, 2021",15.99,15.02,17.4,14.8,12.29M,9.22%
751,"Jan 05, 2021",14.64,13.49,15.01,13.49,7.64M,8.20%
752,"Jan 04, 2021",13.53,12.95,13.73,12.58,6.58M,7.81%
753,"Dec 31, 2020",12.55,12.34,12.75,11.8,4.12M,2.62%
754,"Dec 30, 2020",12.23,11.91,12.68,11.89,5.17M,2.60%
755,"Dec 29, 2020",11.92,12.66,12.69,11.45,5.59M,-3.33%
756,"Dec 28, 2020",12.33,12.4,13.89,12.28,10.27M,0.16%
757,"Dec 24, 2020",12.31,12.43,12.69,11.61,4.89M,-0.97%
758,"Dec 23, 2020",12.43,11.97,12.98,11.38,14.97M,9.52%
759,"Dec 22, 2020",11.35,9.66,11.68,9.57,15.44M,21.26%
760,"Dec 21, 2020",9.36,9.25,9.36,9.03,3.19M,0.21%
761,"Dec 18, 2020",9.34,9.38,9.75,9.22,4.63M,-0.32%
762,"Dec 17, 2020",9.37,9.61,9.75,9.3,2.40M,-1.37%
763,"Dec 16, 2020",9.5,9.78,9.88,9.37,2.89M,-2.16%
764,"Dec 15, 2020",9.71,9.13,9.76,8.95,4.38M,7.89%
765,"Dec 14, 2020",9.0,9.63,9.63,8.98,3.99M,-4.76%
766,"Dec 11, 2020",9.45,9.92,9.99,9.24,4.47M,-4.74%
767,"Dec 10, 2020",9.92,9.9,10.18,9.76,2.67M,-1.39%
768,"Dec 09, 2020",10.06,10.68,10.69,9.82,4.14M,-4.64%
769,"Dec 08, 2020",10.55,10.52,10.63,10.17,3.24M,0.29%
770,"Dec 07, 2020",10.52,10.21,10.53,10.21,2.94M,3.24%
771,"Dec 04, 2020",10.19,10.56,10.59,10.08,3.68M,-2.30%
772,"Dec 03, 2020",10.43,10.92,10.95,10.4,3.16M,-3.69%
773,"Dec 02, 2020",10.83,11.13,11.25,10.25,4.09M,-5.50%
774,"Dec 01, 2020",11.46,11.36,11.84,11.28,3.64M,1.78%
775,"Nov 30, 2020",11.26,12.44,12.5,10.95,5.81M,-2.26%
776,"Nov 27, 2020",11.52,11.29,12.48,11.06,9.16M,4.16%
777,"Nov 25, 2020",11.06,10.75,11.13,10.38,4.28M,3.85%
778,"Nov 24, 2020",10.65,10.73,11.88,10.48,7.93M,2.40%
779,"Nov 23, 2020",10.4,10.57,11.04,10.27,5.08M,0.58%
780,"Nov 20, 2020",10.34,10.77,10.85,10.31,3.00M,-2.18%
781,"Nov 19, 2020",10.57,10.59,11.07,10.5,3.12M,-2.04%
782,"Nov 18, 2020",10.79,11.42,11.47,10.73,3.94M,-4.93%
783,"Nov 17, 2020",11.35,11.94,11.99,10.96,4.80M,-5.02%
784,"Nov 16, 2020",11.95,11.03,12.13,10.39,5.43M,10.44%
785,"Nov 13, 2020",10.82,9.95,10.87,9.77,4.37M,9.96%
786,"Nov 12, 2020",9.84,10.03,10.34,9.77,3.63M,-1.89%
787,"Nov 11, 2020",10.03,10.02,10.1,9.49,3.89M,3.08%
788,"Nov 10, 2020",9.73,10.08,10.23,9.4,3.67M,-4.61%
789,"Nov 09, 2020",10.2,11.98,11.99,10.17,4.14M,-6.08%
790,"Nov 06, 2020",10.86,11.29,11.63,10.56,3.80M,-2.07%
791,"Nov 05, 2020",11.09,10.33,11.18,10.07,4.06M,10.90%
792,"Nov 04, 2020",10.0,10.4,10.59,9.67,3.00M,-5.39%
793,"Nov 03, 2020",10.57,10.15,10.64,9.94,2.74M,8.52%
794,"Nov 02, 2020",9.74,9.8,10.04,9.58,1.49M,1.35%
795,"Oct 30, 2020",9.61,10.0,10.19,9.22,1.90M,-4.95%
796,"Oct 29, 2020",10.11,9.32,10.35,9.31,2.95M,9.30%
797,"Oct 28, 2020",9.25,9.5,9.77,9.23,2.25M,-7.41%
798,"Oct 27, 2020",9.99,10.62,10.72,9.86,2.54M,-4.40%
